wave,label,symbol,session_start,session_end,vt,sl_atr,tp_atr,total_net_profit,profit_factor,total_trades,max_dd_pct,sharpe,recovery_factor,win_rate,source_path
w1,EBB_W1_VT100,EURUSD,13.0,20.0,1.0,0.5,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w1_EBB_W1_VT100_20260421_235537.htm
w2,W2_S0712_VT070,EURUSD,7,12,0.7,0.5,2.0,-8.7,0.38,3,1.41,-0.11,-0.54,33.33,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w2_W2_S0712_VT070_20260422_001424.htm
w2,W2_S0820_VT020,EURUSD,8,20,0.2,0.5,2.0,-998.11,0.91,5138,99.83,-5.0,-0.88,29.68,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w2_W2_S0820_VT020_20260422_001849.htm
w2,W2_S0820_VT100,EURUSD,8,20,1.0,0.5,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w2_W2_S0820_VT100_20260422_002127.htm
w2,W2_S1317_VT050,EURUSD,13,17,0.5,0.5,2.0,-30.26,0.96,172,23.17,-4.25,-0.11,27.91,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w2_W2_S1317_VT050_20260422_001542.htm
w2,W2_S1421_VT035,EURUSD,14,21,0.35,0.5,2.0,-346.73,0.88,742,52.72,-5.0,-0.47,28.98,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w2_W2_S1421_VT035_20260422_001700.htm
w3,W3_asian_S1317,EURUSD,13,17,0.5,0.5,2.0,-157.57,0.8,204,22.7,-5.0,-0.63,24.02,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w3_W3_asian_S1317_20260422_003013.htm
w3,W3_atr_brk_S1416,EURUSD,14,16,0.5,0.5,2.0,56.21,1.1,124,11.81,9.49,0.39,29.03,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w3_W3_atr_brk_S1416_20260422_003122.htm
w3,W3_brk_range_S0812,EURUSD,8,12,0.5,0.5,2.0,-34.87,0.71,26,4.1,-5.0,-0.75,26.92,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w3_W3_brk_range_S0812_20260422_002905.htm
w3,W3_fade_short_S0812,EURUSD,8,12,0.5,0.5,2.0,-263.63,0.55,151,27.23,-5.0,-0.92,21.85,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w3_W3_fade_short_S0812_20260422_003240.htm
w4,W4_atr_S1317_VT035_SL030,EURUSD,13,17,0.35,0.3,2.0,-138.59,0.92,368,34.49,-5.0,-0.29,19.02,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_atr_S1317_VT035_SL030_20260422_004026.htm
w4,W4_atr_S1317_VT050_SL050,EURUSD,13,17,0.5,0.5,2.0,93.61,1.16,135,9.43,14.51,0.81,30.37,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_atr_S1317_VT050_SL050_20260422_004135.htm
w4,W4_atr_S1317_VT065_SL070,EURUSD,13,17,0.65,0.7,2.0,12.01,1.17,20,2.59,11.24,0.36,45.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_atr_S1317_VT065_SL070_20260422_004253.htm
w4,W4_atr_S1416_VT035_SL030,EURUSD,14,16,0.35,0.3,2.0,-103.92,0.93,293,32.81,-5.0,-0.23,18.43,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_atr_S1416_VT035_SL030_20260422_004411.htm
w4,W4_atr_S1416_VT050_SL050,EURUSD,14,16,0.5,0.5,2.0,56.21,1.1,124,11.81,9.49,0.39,29.03,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_atr_S1416_VT050_SL050_20260422_004509.htm
w4,W4_atr_S1416_VT065_SL070,EURUSD,14,16,0.65,0.7,2.0,8.56,1.12,19,2.6,7.77,0.27,42.11,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_atr_S1416_VT065_SL070_20260422_004608.htm
w4,W4_mom_S0812_VT035_SL030,EURUSD,8,12,0.35,0.3,2.0,-334.99,0.72,251,46.94,-5.0,-0.56,15.94,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_mom_S0812_VT035_SL030_20260422_004706.htm
w4,W4_mom_S0812_VT050_SL050,EURUSD,8,12,0.5,0.5,2.0,51.36,1.47,26,3.82,35.52,1.01,38.46,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_mom_S0812_VT050_SL050_20260422_004834.htm
w4,W4_mom_S0812_VT065_SL070,EURUSD,8,12,0.65,0.7,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w4_W4_mom_S0812_VT065_SL070_20260422_005002.htm
w5,W5_atr_GBPUSD_S1317_VT050_SL030,GBPUSD,13,17,0.5,0.3,2.0,101.27,1.28,80,6.96,19.97,1.31,25.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w5_W5_atr_GBPUSD_S1317_VT050_SL030_20260422_072132.htm
w6,W6_atr_GBP_S1317_VT035_SL020,GBPUSD,13,17,0.35,0.2,2.0,-396.96,0.56,241,39.7,-5.0,-0.97,12.03,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w6_W6_atr_GBP_S1317_VT035_SL020_20260422_072545.htm
w6,W6_atr_GBP_S1317_VT050_SL030,GBPUSD,13,17,0.5,0.3,2.0,101.27,1.28,80,6.96,19.97,1.31,25.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w6_W6_atr_GBP_S1317_VT050_SL030_20260422_072713.htm
w7,W7_null_GBP_S1620_VT050_SL030,GBPUSD,16,20,0.5,0.3,2.0,5.87,1.07,17,3.07,3.26,0.17,29.41,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w7_W7_null_GBP_S1620_VT050_SL030_20260422_073625.htm
w8,W8_null_EUR_S1620_VT050_SL050,EURUSD,16,20,0.5,0.5,2.0,-15.85,0.83,24,4.15,-5.0,-0.35,33.33,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p4_ebb_w8_W8_null_EUR_S1620_VT050_SL050_20260422_074550.htm
